order_id,user_id,amount,quantity,created_at,status,status_clean,amount__isna,quantity__isna,year,month,day,hour,country,signup_date,amount_winsor
SYN_00001,0103,83.12,1.0,2025-11-28 13:36:00+00:00,Paid,paid,False,False,2025,11,28,13,SA,2025-10-02,83.12
SYN_00002,0436,24.54,2.0,2025-11-04 17:28:00+00:00,Paid,paid,False,False,2025,11,4,17,SA,2025-10-09,24.54
SYN_00003,0349,81.94,1.0,2025-11-04 05:01:00+00:00,paid,paid,False,False,2025,11,4,5,SA,2025-10-28,81.94
SYN_00004,0271,82.12,2.0,2025-11-11 05:19:00+00:00,Paid,paid,False,False,2025,11,11,5,SA,2025-11-07,82.12
SYN_00005,0107,61.21,1.0,2025-11-21 07:07:00+00:00,Paid,paid,False,False,2025,11,21,7,SA,2025-10-03,61.21
SYN_00006,0072,63.84,1.0,2025-11-06 06:06:00+00:00,paid,paid,False,False,2025,11,6,6,AE,2025-10-20,63.84
SYN_00007,0189,179.62,4.0,2025-11-09 13:06:00+00:00,PAID,paid,False,False,2025,11,9,13,SA,2025-10-06,179.62
SYN_00008,0021,84.14,1.0,2025-11-17 16:42:00+00:00,Refund,refund,False,False,2025,11,17,16,SA,2025-11-08,84.14
SYN_00009,0103,51.77,2.0,2025-11-11 11:26:00+00:00,paid,paid,False,False,2025,11,11,11,SA,2025-11-02,51.77
SYN_00010,0122,18.03,1.0,2025-11-13 01:47:00+00:00,PAID,paid,False,False,2025,11,13,1,AE,2025-10-01,18.03
SYN_00011,0467,98.32,1.0,2025-11-19 18:42:00+00:00,paid,paid,False,False,2025,11,19,18,SA,2025-11-06,98.32
SYN_00012,0215,32.4,1.0,2025-11-17 14:08:00+00:00,PAID,paid,False,False,2025,11,17,14,SA,2025-10-06,32.4
SYN_00013,0331,52.17,1.0,2025-11-19 09:54:00+00:00,paid,paid,False,False,2025,11,19,9,SA,2025-11-14,52.17
SYN_00014,0459,72.78,4.0,2025-11-13 17:23:00+00:00,PAID,paid,False,False,2025,11,13,17,SA,2025-11-03,72.78
SYN_00015,0088,183.14,1.0,2025-11-13 12:19:00+00:00,paid,paid,False,False,2025,11,13,12,SA,2025-10-15,183.14
SYN_00016,0373,134.97,,2025-11-07 20:50:00+00:00,PAID,paid,False,True,2025,11,7,20,SA,2025-11-14,134.97
SYN_00017,0100,75.62,2.0,2025-11-29 09:03:00+00:00,paid,paid,False,False,2025,11,29,9,SA,2025-10-26,75.62
SYN_00018,0360,176.91,2.0,2025-11-08 03:23:00+00:00,Refund,refund,False,False,2025,11,8,3,SA,2025-10-14,176.91
SYN_00019,0152,123.05,2.0,2025-11-13 16:39:00+00:00,Refund,refund,False,False,2025,11,13,16,SA,2025-10-07,123.05
